SetPoint: 10  Speed: 0  Error: 0  Integral Component: 0  Control Voltage: 0
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 0.770792  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 2.48261  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 4.95671  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 8.3754  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 12.5734  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 17.5586  Control Voltage: 5
