SetPoint: 10  Speed: 0  Error: 0  Integral Component: 0  Control Voltage: 0
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 0.775381  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 2.33497  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 4.65191  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 7.7588  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 11.6487  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.3072  Control Voltage: 5
