SetPoint: 10  Speed: 0  Error: 0  Integral Component: 0  Control Voltage: 0
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 0.781429  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 2.33102  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 4.64835  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 7.74383  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 11.5994  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
SetPoint: 10  Speed: 0  Error: 10  Integral Component: 16.2353  Control Voltage: 5
